order_id,material_cost,shipping_cost
O-00152,1690.95,1060.81
O-00153,2772.64,1713.15
O-00154,7834.12,4464.86
O-00155,8821.63,4443.71
O-00156,1300.62,954.29
O-00157,1272.41,863.58
O-00158,1891.09,1201.14
O-00159,9141.9,5273.05
O-00160,4693.16,3703.24
O-00161,276.16,175.02
O-00162,1620.42,963.3
O-00163,190.67,131.79
O-00164,845.4,482.29
O-00165,743.89,519.61
O-00166,320.87,94.91
O-00167,335.22,82.47
O-00168,150.38,40.88
O-00169,3816.58,764.29
O-00170,107.91,27.7
O-00171,218.93,65.93
O-00172,629.19,123.38
O-00173,2153.13,488.64
O-00174,1297.61,294.45
O-00175,875.03,199.93
O-00176,4970.32,1425.85
O-00177,1105.36,346.99
O-00178,1924.02,664.12
O-00179,7502.19,2344.16
O-00180,1090.8,324.89
O-00181,2983.92,827.57
O-00182,1949.93,582.5
O-00183,1338.25,293.58
O-00184,1475.81,285.63
O-00185,9282.83,2523.29
O-00186,1560.35,355.14
O-00187,4994.83,987.33
O-00188,1342.41,361.92
O-00189,6757.68,1357.23
O-00190,7763.81,2536.45
O-00191,295.04,80.29
O-00192,4925.98,1384.93
O-00193,180.49,36.43
O-00194,1947.95,409.12
O-00195,9168.68,1712.71
O-00196,5785.92,1409.84
O-00197,2403.16,579.48
O-00198,537.18,156.98
O-00199,977.42,240.22
O-00200,556.78,141.55
O-00201,1314.14,330.13
O-00202,1360.05,379.87
O-00203,290.7,66.67
O-00204,5769.33,1588.01
