order_id,customer_id,product_id,order_date,quantity,unit_price,revenue,quarter
O-00053,C-0048,P-103,2025-03-20,6,246.34144705746786,1478.05,Q1
O-00054,C-0048,P-102,2025-01-27,10,771.5865779987802,7715.87,Q1
O-00055,C-0049,P-101,2025-03-02,17,407.62412394636016,6929.61,Q1
O-00056,C-0049,P-100,2025-03-07,10,1199.4936905348998,11994.94,Q1
O-00057,C-0051,P-101,2025-01-19,7,361.4655232636096,2530.26,Q1
O-00058,C-0051,P-100,2025-02-23,15,1239.5046436291766,18592.57,Q1
O-00059,C-0052,P-101,2025-03-25,5,401.2573447848312,2006.29,Q1
O-00060,C-0052,P-100,2025-01-29,14,1111.6596027071757,15563.23,Q1
O-00061,C-0053,P-100,2025-01-18,15,1224.2549883100075,18363.82,Q1
O-00062,C-0054,P-104,2025-02-24,17,153.68780631873184,2612.69,Q1
O-00063,C-0054,P-103,2025-02-03,15,253.19162949376917,3797.87,Q1
O-00064,C-0056,P-102,2025-01-10,15,805.6253835133267,12084.38,Q1
O-00065,C-0058,P-101,2025-03-30,13,369.16831599462887,4799.19,Q1
O-00066,C-0059,P-103,2025-01-27,2,256.23341885026827,512.47,Q1
O-00067,C-0059,P-100,2025-02-18,19,1165.8563518603241,22151.27,Q1
O-00068,C-0060,P-104,2025-03-19,18,155.2007553164819,2793.61,Q1
O-00069,C-0060,P-103,2025-02-19,1,237.60485788868934,237.6,Q1
O-00070,C-0001,P-101,2025-06-08,20,361.6179871143083,7232.36,Q2
O-00071,C-0001,P-100,2025-06-22,3,1157.150298538997,3471.45,Q2
O-00072,C-0002,P-101,2025-05-12,15,380.25003288443224,5703.75,Q2
O-00073,C-0002,P-103,2025-04-11,9,242.63650635798928,2183.73,Q2
O-00074,C-0004,P-100,2025-05-02,1,1115.884922825256,1115.88,Q2
O-00075,C-0005,P-100,2025-04-28,19,1163.7061170183397,22110.42,Q2
O-00076,C-0005,P-104,2025-04-15,20,152.50031743894726,3050.01,Q2
O-00077,C-0005,P-104,2025-05-10,1,147.95542638927932,147.96,Q2
O-00078,C-0007,P-101,2025-06-29,4,406.34885309707346,1625.4,Q2
O-00079,C-0007,P-100,2025-04-06,19,1142.4966777555207,21707.44,Q2
O-00080,C-0007,P-104,2025-04-02,11,154.11545160749048,1695.27,Q2
O-00081,C-0012,P-104,2025-06-18,9,153.184482423152,1378.66,Q2
O-00082,C-0012,P-103,2025-05-05,19,237.08642186179193,4504.64,Q2
O-00083,C-0012,P-102,2025-05-02,15,810.0571538192409,12150.86,Q2
O-00084,C-0013,P-102,2025-06-02,6,745.4543820215687,4472.73,Q2
O-00085,C-0013,P-104,2025-06-11,9,135.22840007487022,1217.06,Q2
O-00086,C-0015,P-103,2025-05-28,16,254.7349825549619,4075.76,Q2
O-00087,C-0017,P-102,2025-06-10,16,783.7106317374921,12539.37,Q2
O-00088,C-0017,P-102,2025-06-29,12,774.4494315423815,9293.39,Q2
O-00089,C-0017,P-101,2025-04-16,11,404.5728638183463,4450.3,Q2
O-00090,C-0018,P-103,2025-06-15,9,261.62276335811464,2354.6,Q2
O-00091,C-0018,P-100,2025-05-08,7,1120.94696942686,7846.63,Q2
O-00092,C-0018,P-104,2025-05-06,5,136.02410327212243,680.12,Q2
O-00093,C-0022,P-104,2025-05-31,10,145.77106969364397,1457.71,Q2
O-00094,C-0023,P-100,2025-05-22,3,1168.5143808523922,3505.54,Q2
O-00095,C-0023,P-101,2025-06-12,5,416.94753854148183,2084.74,Q2
O-00096,C-0024,P-104,2025-06-19,20,140.0779605839633,2801.56,Q2
O-00097,C-0024,P-103,2025-06-15,10,262.12617226750496,2621.26,Q2
O-00098,C-0028,P-102,2025-04-21,3,748.7838213209632,2246.35,Q2
O-00099,C-0029,P-104,2025-05-08,16,135.7343967460708,2171.75,Q2
O-00100,C-0029,P-103,2025-06-27,3,233.75339273100096,701.26,Q2
O-00101,C-0029,P-104,2025-05-25,7,137.58246680537354,963.08,Q2
O-00102,C-0030,P-100,2025-04-22,2,1222.6731419218343,2445.35,Q2
O-00103,C-0032,P-102,2025-05-05,13,780.0566612541511,10140.74,Q2
O-00104,C-0032,P-100,2025-05-12,14,1188.668455370264,16641.36,Q2
O-00105,C-0035,P-102,2025-04-06,19,811.5730805006046,15419.89,Q2
O-00106,C-0036,P-101,2025-05-26,19,398.0870831672452,7563.65,Q2
O-00107,C-0036,P-102,2025-05-13,14,758.5269907147886,10619.38,Q2
O-00108,C-0037,P-102,2025-06-10,13,724.4036556376451,9417.25,Q2
O-00109,C-0037,P-100,2025-06-05,13,1228.4868965883663,15970.33,Q2
O-00110,C-0038,P-101,2025-05-17,17,397.3580323561027,6755.09,Q2
O-00111,C-0039,P-104,2025-05-07,5,144.85761213912852,724.29,Q2
O-00112,C-0039,P-104,2025-06-30,8,138.56350868561773,1108.51,Q2
O-00113,C-0040,P-103,2025-06-22,4,256.2053690163338,1024.82,Q2
O-00114,C-0041,P-103,2025-05-31,16,234.1399089778177,3746.24,Q2
O-00115,C-0041,P-104,2025-04-18,17,154.44060602464324,2625.49,Q2
O-00116,C-0042,P-102,2025-05-07,1,807.126117913624,807.13,Q2
O-00117,C-0042,P-103,2025-05-28,5,245.19677166389528,1225.98,Q2
O-00118,C-0042,P-104,2025-05-29,13,155.98917575359337,2027.86,Q2
O-00119,C-0043,P-101,2025-04-06,14,379.090579634028,5307.27,Q2
O-00120,C-0043,P-103,2025-06-24,13,254.7147622762474,3311.29,Q2
O-00121,C-0045,P-102,2025-05-27,4,731.9654037290375,2927.86,Q2
O-00122,C-0045,P-101,2025-06-23,14,418.19740764246643,5854.76,Q2
O-00123,C-0045,P-102,2025-06-19,11,803.1245518304258,8834.37,Q2
O-00124,C-0048,P-103,2025-04-05,18,248.1547298101021,4466.79,Q2
O-00125,C-0048,P-102,2025-04-12,8,772.0765766307751,6176.61,Q2
O-00126,C-0050,P-102,2025-04-06,1,758.9249600137564,758.92,Q2
O-00127,C-0050,P-103,2025-05-02,5,244.9187369305785,1224.59,Q2
O-00128,C-0050,P-101,2025-04-11,6,396.56950721331225,2379.42,Q2
O-00129,C-0051,P-101,2025-05-30,8,398.27427786021417,3186.19,Q2
O-00130,C-0051,P-103,2025-06-26,10,245.49743016007608,2454.97,Q2
O-00131,C-0051,P-104,2025-06-21,10,156.64565413852745,1566.46,Q2
O-00132,C-0052,P-103,2025-05-01,4,239.3011611621611,957.2,Q2
O-00133,C-0052,P-102,2025-06-24,1,767.4966889093641,767.5,Q2
O-00134,C-0060,P-101,2025-06-19,7,375.037608002617,2625.26,Q2
O-00135,C-0060,P-101,2025-06-20,4,398.7804365334314,1595.12,Q2
O-00136,C-0001,P-101,2025-08-07,3,379.6031475428406,1138.81,Q3
O-00137,C-0001,P-104,2025-09-06,12,146.2903821509589,1755.48,Q3
O-00138,C-0001,P-103,2025-08-13,10,255.15872019766917,2551.59,Q3
O-00139,C-0003,P-103,2025-08-16,18,228.38635783382188,4110.95,Q3
O-00140,C-0003,P-100,2025-08-17,15,1201.1091087372756,18016.64,Q3
O-00141,C-0003,P-102,2025-09-25,4,748.05862826539,2992.23,Q3
O-00142,C-0004,P-101,2025-09-20,3,409.4313210834269,1228.29,Q3
O-00143,C-0004,P-103,2025-07-18,4,226.70050541300182,906.8,Q3
O-00144,C-0004,P-100,2025-07-31,4,1239.7066755351307,4958.83,Q3
O-00145,C-0008,P-101,2025-09-22,14,365.9412980826317,5123.18,Q3
O-00146,C-0008,P-102,2025-09-27,2,764.4635950481323,1528.93,Q3
O-00147,C-0008,P-102,2025-09-26,4,764.0801950196617,3056.32,Q3
O-00148,C-0009,P-101,2025-08-28,4,365.5004054290512,1462.0,Q3
O-00149,C-0009,P-100,2025-08-12,2,1123.8424014895243,2247.68,Q3
O-00150,C-0010,P-101,2025-07-28,19,408.78317886726353,7766.88,Q3
O-00151,C-0010,P-104,2025-08-05,1,154.314137843554,154.31,Q3
O-00152,C-0010,P-102,2025-07-15,6,799.3269171116781,4795.96,Q3
O-00153,C-0012,P-100,2025-08-03,6,1089.4318232150117,6536.59,Q3
O-00154,C-0012,P-100,2025-08-27,16,1220.0430670765566,19520.69,Q3
O-00155,C-0013,P-100,2025-08-08,17,1162.4476539775828,19761.61,Q3
O-00156,C-0013,P-103,2025-08-24,13,250.72865610233376,3259.47,Q3
O-00157,C-0013,P-100,2025-08-11,3,1189.4935362540193,3568.48,Q3
O-00158,C-0015,P-103,2025-09-06,20,236.05866547312087,4721.17,Q3
O-00159,C-0015,P-100,2025-07-28,18,1157.4125894999497,20833.43,Q3
O-00160,C-0017,P-100,2025-08-24,11,1136.2542428055363,12498.8,Q3
O-00161,C-0017,P-103,2025-07-12,3,256.19144581780705,768.57,Q3
O-00162,C-0017,P-102,2025-09-10,5,727.1977173565016,3635.99,Q3
O-00163,C-0019,P-103,2025-08-06,2,247.51537842092537,495.03,Q3
O-00164,C-0019,P-101,2025-09-23,5,388.93136377226335,1944.66,Q3
O-00165,C-0019,P-104,2025-07-15,12,152.15862671857911,1825.9,Q3
O-00166,C-0025,P-102,2025-07-24,1,752.792446645527,752.79,Q3
O-00167,C-0025,P-102,2025-07-24,1,824.3835247843726,824.38,Q3
O-00168,C-0025,P-101,2025-07-12,1,404.7667057203424,404.77,Q3
O-00169,C-0026,P-102,2025-09-11,11,791.5468526646112,8707.02,Q3
O-00170,C-0026,P-104,2025-09-25,2,136.83558436946805,273.67,Q3
O-00171,C-0028,P-104,2025-08-14,4,144.67305675145255,578.69,Q3
O-00172,C-0029,P-102,2025-07-29,2,767.4316075305155,1534.86,Q3
O-00173,C-0029,P-102,2025-07-18,7,811.6993074913498,5681.9,Q3
O-00174,C-0029,P-103,2025-07-23,14,229.84446381597056,3217.82,Q3
O-00175,C-0030,P-102,2025-08-20,3,823.4117234427107,2470.24,Q3
O-00176,C-0030,P-100,2025-09-12,11,1157.2711715341504,12729.98,Q3
O-00177,C-0030,P-102,2025-08-21,4,722.5027870829699,2890.01,Q3
O-00178,C-0034,P-101,2025-09-14,14,384.0269889789652,5376.38,Q3
O-00179,C-0036,P-100,2025-09-20,17,1100.5247951709396,18708.92,Q3
O-00180,C-0037,P-101,2025-07-14,8,368.78665309666167,2950.29,Q3
O-00181,C-0037,P-100,2025-09-19,6,1168.94106450313,7013.65,Q3
O-00182,C-0037,P-103,2025-09-21,19,248.82368696477226,4727.65,Q3
O-00183,C-0039,P-103,2025-09-19,15,236.35576631771298,3545.34,Q3
O-00184,C-0040,P-103,2025-07-05,15,227.1333769062732,3407.0,Q3
O-00185,C-0040,P-100,2025-09-15,20,1171.272207120112,23425.44,Q3
O-00186,C-0043,P-101,2025-09-16,11,388.5377416765842,4273.92,Q3
O-00187,C-0043,P-100,2025-09-30,11,1095.1792437644215,12046.97,Q3
O-00188,C-0043,P-103,2025-09-06,15,244.60305132245796,3669.05,Q3
O-00189,C-0044,P-102,2025-07-07,20,814.7072317876399,16294.14,Q3
O-00190,C-0044,P-100,2025-09-25,18,1149.5815568502728,20692.47,Q3
O-00191,C-0047,P-104,2025-08-14,5,141.98021409491577,709.9,Q3
O-00192,C-0048,P-100,2025-09-10,10,1147.8022750901341,11478.02,Q3
O-00193,C-0048,P-104,2025-09-21,3,150.08526090179862,450.26,Q3
O-00194,C-0048,P-102,2025-07-28,6,761.0078814157858,4566.05,Q3
O-00195,C-0050,P-100,2025-09-08,17,1230.3215687942202,20915.47,Q3
O-00196,C-0050,P-102,2025-07-17,20,791.6695729285954,15833.39,Q3
O-00197,C-0055,P-101,2025-09-17,15,377.0956759538015,5656.44,Q3
O-00198,C-0055,P-104,2025-08-09,8,156.72592433686583,1253.81,Q3
O-00199,C-0056,P-104,2025-08-29,15,152.31236741945045,2284.69,Q3
O-00200,C-0056,P-103,2025-07-26,6,255.04722090568305,1530.28,Q3
O-00201,C-0056,P-103,2025-09-09,12,260.03600827490624,3120.43,Q3
O-00202,C-0057,P-101,2025-08-27,9,414.31837253869446,3728.87,Q3
O-00203,C-0059,P-102,2025-08-23,1,726.390826460529,726.39,Q3
O-00204,C-0059,P-100,2025-07-29,12,1085.073758195067,13020.89,Q3
